nombre,marca,modelo,cal_general,cal_vida,cal_diseño,cal_manejo,cal_performance,a_favor,en_contra
Mercedes-Benz Clase E 400 4Matic AMG Line,Mercedes Benz,Clase E 400 4Matic AMG Line,8.3,8.1,8.7,8.7,8.4,"Calidad general,Sistema de iluminación,Prestaciones,Consumos en ruta,Aislación acústica","Quinta plaza,Neumáticos run flat,Visibilidad panorámica,Consumo urbano,Garantía"
Mini Clubman Chili 2.0 AT,Mini,Clubman Chili 2.0 AT,7.6,7.6,7.1,8.6,8.3,"Prestaciones en general,Consumo austero,Plazas traseras habitables,Comportamiento rutero,Motor eficiente","Rigidez de suspensiones,Neumáticos Run flat sin auxilio,Garantía limitada,Visibilidad posterior,Precio elevado"
Suzuki Vitara GLX 1.6 4×4 AT,Suzuki,Vitara GLX 1.6 4x4 AT,7.5,7.3,7.5,7.8,7.4,"Equipamiento de seguridad/frenos,Habitabilidad,Consumos,Personalización,Prestaciones","Aspereza del tren trasero,Calidad de algunos plásticos,Auxilio temporal,Faltantes de confort,Precio elevado"
Peugeot 2008 1.6 THP Sport,Peugeot,2008 1.6 THP Sport,7.9,7.7,7.9,8.2,8.3,"Diseño atractivo,Motor eficiente/Prestaciones,Suspensiones/Dinámica,Equipamiento de serie,Sistema Grip Control","Auxilio temporal,Ubicación instrumental,Distancias de frenado justas,Ausencia de Isofix,Xenón no disponible  "
RAM 1500 Laramie Crew Cab (V8 5.7 AT),,1500 Laramie Crew Cab (V8 5.7 AT),8.1,8.5,8.6,7.8,8,"Confort de marcha,Equipamiento de confort ,Opciones de tracción/off road ,Habitabilidad (adelante y atrás) ,Prestaciones","Consumo urbano elevado ,Practicidad en ciudad,Bajo poder lumínico,Limitada capacidad de carga,Sin GPS ni sensor delantero"
Volkswagen Golf 1.4 TSI Highline,Volkswagen,Golf 1.4 TSI Highline,8,8.3,7.9,8.3,8.1,"Diseño “Golf” actualizado ,Materiales/Terminación ,Equilibrio de suspensiones ,Insonorización ,Prestaciones/Consumo","Ausencia de levas al volante ,Navegador no disponible de serie ,Quinta plaza limitada, Reglaje manual de butacas ,Radio de giro mejorable"
Ford Mondeo 2.0 EcoBoost Titanium,Ford,Mondeo 2.0 EcoBoost Titanium,8.1,8.1,8.2,8.2,8.3,"Inusual equipamiento de serie ,Motor eficiente ,Dinámica en ruta,Prestaciones ,Consumo/Autonomía","Auxilio temporal ,Instrumental confuso, Valor de reventa ,Quinta plaza limitada ,Tacto pedal de freno"
Honda HR-V EXL (2015),Honda,HR-V EXL (2015),7.2,7.4,7.5,7.7,7.6,"Equipamiento de seguridad/Frenos,Equipamiento de seguridad/Frenos,Eficiencia del motor,Habitabilidad/Baúl,Función manual CVT,Calidad de terminación","Faltantes de confort,Auxilio temporal,Solo 4x2,Luces mejorables,Sin antiniebla trasero,Visibilidad panorámica justa"
Renault Duster Privilege 1.6,Renault,Duster Privilege 1.6,7.0,6.9,6.6,6.8,7.2,"Robustez,Central media,Confort de marcha,Motor eficiente","Faltantes de seguridad,Materiales mejorables,Precio en relación al 2.0,Insonoridad en ruta"
Volkswagen Polo 1.6 Comfortline MT,Volkswagen,Polo 1.6 Comfortline MT,7.4,7.6,7.5,7.6,7.7,"Motor/Consumo,Plazas traseras,Prestaciones,Equilibrio suspensiones,Capacidad del baúl","Faltantes de equipamiento,Insonorización,ESP no disponible,Diseño convencional,Sin sensores estacionamiento/lluvia"
Nissan NP300 Frontier LE AT (2016),Nissan,Frontier LE 4x4 AT (2016),7.7,8.0,7.8,7.9,8.4,"Diseño,Mejoras de equipamiento,Prestaciones,Confort de marcha ","Precio,Solo dos airabgs,Posición de manejo,Algunas terminaciones"
Volkswagen Golf GTi DSG (2.0/220CV),Volkswagen,Golf GTi DSG 2.0,8.1,8.2,7.9,8.6,8.1,"Prestaciones/Caja DSG, Motor eficiente/Elasticidad, Terminación/Materiales,Equipamiento de serie ,Suspensiones equilibradas","Precio elevado ,Distancias de frenado justas ,Valores de consumo ,Auxilio temporal ,Visibilidad posterior"
Chery QQ Confort,Chery,QQ Confort,6.3,6.2,6.2,6.2,5.8,"Diseño personal,Mejora en la terminación,Equipamiento de confort,Utilización en ciudad","Prestaciones limitadas,Espacio y acceso de carga,Insonorización mejorable,Caja ruidosa"
Toyota SW4 4×4 SRX MT,Toyota,SW4 4x4 SRX MT,7.7,7.6,7.9,7.7,7.8,"Aptitudes off road ,Equipamiento de serie ,Robustez estructural,Imagen de confiabilidad ,Opticas Bi-LED ,Selector de tracción","Sistema rebatible 3ª fila ,Recuperaciones en 5ª y 6ª ,Radio de giro limitado ,Respuesta lenta de dirección ,Sensible a vientos laterales, Precio elevado"
Fiat Toro Volcano 4×4 2.0 170 CV,Fiat,Toro Volcano 4x4 2.0 170 CV,7.7,7.8,7.9,7.5,7.8,"Calidad de materiales,Desempeño dinámico en ruta,Consumos,Capacidad de caja","Gama acotada (solo un motor),Auxilio temporal,Plazas traseras acotadas,Pocos portaobjetos"
Mini Cooper S – 5 puertas,Mini,Mini Cooper S - 5 puertas,7.8,7.3,7.3,8.9,8.4,"Motor/Prestaciones,Comportamiento dinámico,Diseño seductor,Calidad de materiales,Conducción agradable","Habitabilidad en plazas traseras,Run Flat/ Sin auxilio,Confort de marcha en ciudad,Precio elevado,Tamaño de baúl"
Chevrolet Cruze LTZ Plus,Chevrolet,Cruze LTZ Plus,8.1,7.9,8.0,7.8,8.3,"Estética deportiva,Equipamiento de serie confort,Tecnología aplicada,Prestaciones,Precio comparativo","Diseño impersonal,Auxilio temporal,Visibilidad panorámica,Dirección sobreasistida,Confort en ciudad"
Renault Sandero R.S.,Renault,Sandero R.S.,7.6,7.2,7.4,8.2,7.8,"Nivel de prestaciones ,Comportamiento dinámico,Espacio interior/baúl,Precio atractivo,Respuesta de los frenos","Confort en ciudad,Auxilio temporal,Calidad mejorable,Seguridad pasiva,Regulación del volante"
Fiat Mobi Easy Top,Fiat,Mobi Easy Top,6.7,6.7,6.4,6.8,6.0,"Precio contenido,Maniobrabilidad urbana,Garantía de tres años,Consumo reducido","Prestaciones limitadas,Espacio interior,Baúl pequeño,Selector de caja gomoso"
BMW X1 xDrive 2.5i,BMW,X1 xDrive 2.5i,8.1,7.8,8.2,8.4,8.6,"Diseño logrado,Equipamiento de serie,Comportamiento/Prestaciones,Consumo/Autonomía,Motor eficiente","Run Flat (sin auxilio),Visibilidad posterior,Asientos plazas traseras,Limitado a cuatro plazas,Espejos no rebatibles eléctricamente"
Hyundai Tucson Full Premium 4×4 AT CRDi,Hyundai,Tucson Full Premium 4x4 AT CRDi,7.9,8.3,8.3,7.8,7.9,"Prestaciones/Motor eficiente,Consumo a velocidades constantes ,Diseño atractivo,Equipamiento de serie,Suspensiones equilibradas","Precio elevado,Distancias de frenado justas,Capacidad de baúl,Consumo urbano,Potencia luminica"
Chevrolet S10 High Country 4×4 AT,Chevrolet,S10 High Country 4x4 AT,7.6,7.3,7.8,7.5,8.2,"Potencia/torque,Mejora de equipamiento,Prestaciones/eficiencia del motor,Precio competitivo","Faltantes de seguridad,Auxilio de diferente medida,Visibilidad panorámica ,Consumo en ciudad"
Renault Megane R.S. Coupé,Renault,Megane R.S. Coupé,7.8,7.4,7.7,8.5,8.3,"Diseño impactante,Comportamiento de competición,Posición de manejo/Butacas,Rigidez del chasis/Suspensiones,Motorización,Prestaciones deportivas","Plazas traseras,Visibilidad panorámica,Confort de marcha penalizado,Distancias de frenado estándar,Consumo en ciudad,Precio elevado"
Chevrolet Onix LTZ AT,Chevrolet,Onix LTZ AT,7.2,7,7,7,7,"Precio,Consumo,Garantía,Equipamiento de confort","Seguridad,Auxilio temporal,Dirección algo pesada"
Ford Mustang GT 5.0,Ford,Mustang GT 5.0,7.6,7.0,7.1,8.3,7.7,"Aceleraciones fulminantes,Tenida direccional,Posición de manejo,Conducción agradable ,Precio comparativo,Diseño agresivo","Acceso/Plazas traseras simbólicas,Confort de marcha en ciudad ,Consumo promedio y urbano ,Maniobrabilidad limitada ,Autonomía (tanque de 60 litros),Comportamiento “nervioso”"
Renault Captur Intens 2.0 MT,Renault,Captur Intens 2.0 MT,7.3,7.2,6.8,7.3,7.2,"Diseño atractivo,Confort de marcha,Espacio interior y baúl,Equipamiento de confort,Selector de caja","Gama reducida,Dirección liviana,Distancias de frenado,Auxilio temporal,Posición de manejo mejorable"
Mercedes-Benz C300 Coupe AMG-Line,Mercedes Benz,C300 Coupe AMG-Line,7.8,8.2,7.8,8.3,8.5,"Equipamiento de serie,Prestaciones/Consumo,Calidad de materiales,Maniobrabilidad,Desempeño dinámico","Neumáticos Run Flat,Plazas traseras limitadas,Precio elevado,Visibilidad en general,Garantía mejorable"
BMW X4 xDrive 35i 3.0 AT,BMW,X4 xDrive 35i 3.0 AT,8.1,8.1,7.8,8.6,8.5,"Comportamiento dinámico,Equipamiento,Prestaciones,Caja de 8 marchas","Capacidad de baúl,Sin auxilio,Consumo elevado,Visibilidad posterior"
Peugeot 308 S GTi,Peugeot,308 S GTi,8.0,7.4,7.6,8.5,8.7,"Eficiencia del motor/Prestaciones ,Comportamiento deportivo ,Poder frenante ,Selector preciso,Equipamiento de serie","Precio comparativo ,Plazas traseras justas,Confort de marcha,Sin auxilio (kit) ,Visibilidad posterior"
Volkswagen Touareg V8 4.2 AT,Volkswagen,Touareg V8 4.2 AT,8.2,8.3,8.1,8.1,8.2,"Prestaciones deportivas,Suspensiones equilibradas,Posición de manejo,Espacio interior,Conducción agradable","Auxilio temporal,Maniobrabilidad urbana,Precio elevado,Consumo en transito pesado,Visibilidad panoramica"
Mitsubishi L200 2.4 Di-D High Power 4WD AT,Mitsubishi,L200 2.4 Di-D High Power 4WD AT,7.5,7.7,7.7,7.1,8,"Desempeño off road,Equipamiento de seguridad,Robustez estructural,Consumos/Autonomía,Prestaciones","Aspereza de suspensiones,Ordenador básico,Faltantes de confort,Frenos traseros,Precio elevado"
Geely Emgrand 1.8 MT,Geely,Emgrand 1.8 MT,6.7,6.8,6.4,6.8,7.1,"Espacio interior,Equipamiento de confort,Consumo contenido,Capacidad de baúl","Sin ESP,Posición de manejo,Precio comparativo,Unica version"
Ford Kuga Titanium 2.0 AT AWD,Ford,Kuga Titanium 2.0 AT AWD,8.0,8.0,7.9,8,8.2,"Motor/caja,Equipamiento,Calidad general,Tecnología,Precio comparativo","Algunas terminaciones,Cualidades off road,Sin auxilio,Quinta plaza,Dosificación del freno"
Volkswagen Vento 1.4 TSI Highline DSG (2016),Volkswagen,Vento 1.4 TSI Highline DSG (2016),7.9,8.0,8.0,8.2,8.3,"Balance de suspensiones,Prestaciones correctas,Auxilio y llantas homogéneos,Capacidad de baúl,Conducción agradable","Diseño exterior convencional,Algunos faltantes de equipamiento,Navegador no disponible,Luces halógenas,Precio comparativo"
Chevrolet Tracker LTZ AWD,Chevrolet,Tracker LTZ AWD,7.3,7.2,7,7.4,7.2,"Equipamiento de seguridad,Tecnología aplicada,Calidad general,Nuevo diseño del tablero","Capacidad de baúl,Comportamiento off road,Auxilio temporal,Unión motor/caja"
Nissan Murano Exclusive CVT,Nissan,Murano Exclusive CVT,8.0,8.3,8.1,7.4,8.0,"Estética deportiva,Potencia disponible,Calidad general,Consumo contenido,Confort de marcha","Capacidad off road,Sin levas al volante,Faltantes de equipamiento,Precio elevado,Sistema multimeda/navegador"
Toyota Corolla SE-G,Toyota,Corolla SE-G,7.7,7.6,7.5,7.7,7.6,"Equipamiento,Faros bi led,Habitabilidad,Confiabilidad","Radio de giro,Tenida direccional,Despeje delantero,Auxilio temporal"
Peugeot 301 1.6 Allure Plus,Peugeot,301 1.6 Allure Plus,7.3,7.4,7.1,7.2,7.3,"Espacio interior baúl,Confort de marcha,Desempeño en ruta,Prestaciones correctas,Robustez estructural","Ubicación de mandos,Diseño convencional,Precio algo elevado,Auxilio temporal,Interior ""triste"""
Volkswagen Passat 2.0 TSI Highline,Volkswagen,Passat 2.0 TSI Highline,8.3,8.6,8.5,8.4,8.1,"Equipamiento de serie,Espacio interior,Diseño/Terminación,Suspensiones,Prestaciones","Visibilidad posterior,Consumo promedio,Precio comparativo,Ordenador poco intuitivo,Gama reducida"
Mercedes Benz GLC 300 Coupé 4Matic AT,Mercedes Benz,GLC 300 Coupé 4Matic AT,8.1,8.4,8.4,8.3,8.2,"Equipamiento de serie/Baúl,Comportamiento equilibrado,Terminación y materiales,Prestaciones correctas ","Visibilidad posterior ,Neumáticos run-flat,Garantía mejorable,Consumo urbano"
Citroën C-Elysée Feel HDi,Citroën,C-Elysée Feel HDi,7.4,7.3,7.1,7.3,7.8,"Con ESP,Precio atractivo,Consumos,Espacio interior/baúl","Pocos portaobjetos,Detalles de terminación,Ubicación de levantavidrios,Auxilio temporal"
Toyota Prius CVT,Toyota,Prius CVT,7.7,7.7,7.8,7.5,7.8,"Consumo/autonomía,Equipo de seguridad,Agrado de uso,Confort de marcha,Garantía de 6 años","Visibilidad posterior,Prestaciones limitadas,Selector de caja,Despeje delantero,Diseño"
BMW 440i Convertible M Sport,BMW,440i Convertible M Sport,8.2,8.2,8.1,8.8,8.5,"Diseño logrado,Prestaciones,Elasticidad,Comportamiento dinámico,Equipamiento de serie","Visibilidad limitada,Plazas traseras,Acceso posterior limitado,Run-flat sin auxilio,Capacidad de baúl"
Hyundai Creta Connect AT,Hyundai,Creta Connect AT,7.2,7.3,7.3,7.3,7.1,"Habitabilidad/baúl,Con ESP de serie,Terminaciones,Caja automática,Comportamiento equilibrado","Faltantes de confort,Solo dos airbags,Precio,Consumo urbano,Prestaciones domésticas"
Jeep Compass Longitude 4×4,Jeep,Compass Longitude 4x4,7.6,7.7,8.2,7.8,7.5,"Plazas traseras espaciosas,Diseño exterior/interior,Equilibrio de suspensiones,Tracción con 4 funciones,Terminaciones correctas","Relación peso/potencia ,Visibilidad panorámica,Relaciones de caja “largas”,Consumo promedio ,Ausencia navegador de serie"
Volkswagen Amarok V6 TDI 4motion,Volkswagen,Amarok V6 TDI 4motion,7.8,8.1,8.0,7.6,8.0,"Prestaciones,Eficiencia de la transmisión,Comportamiento dinámico,Equilibrio de suspensiones,Equipamiento de serie","Respaldos de plazas traseras,Consumo urbano,Maniobrabilidad en ciudad,Precio comparativo,Visibilidad panorámica"
Peugeot 3008 GT-Line HDi 1.6 AT,Peugeot,3008 GT-Line HDi 1.6 AT,7.8,8.1,7.9,7.6,7.8,"Equipamiento disponible,Ayudas a la conducción,Agrado de uso,Calidad interior,Diseño atractivo","Espacio posterior,Capacidad off road,Auxilio temporal,Distancias de frenado,Posición de manejo"
Fiat Argo Precision Pack Premium 1.8 MT,Fiat,Argo Precision Pack Premium 1.8 MT,7.3,7.3,7.3,7.1,7.3,"Equipamiento de confort,Gama variada,Relación precio producto,Control de estabilidad,Confort de marcha","Consumo,Prestaciones domésticas,Sin navegador,Diseño impersonal,Radio de giro"
Volkswagen Up! Pepper 1.0 MT,Volkswagen,Up! Pepper 1.0 MT,7.0,6.6,6.6,7.2,7.9,"Relación peso potencia,Inclusión del ASR,Presentación interior,Agilidad en ciudad","Falta ESP,Precio comparativo,Plazas traseras,Poder lumínico"
Mercedes Benz Clase G 500,Mercedes Benz,Clase G 500 4.0 V8,7.3,7.1,8.0,6.6,7.7,"Equipamiento,Prestaciones,Terminaciones,Capacidad off road,Baùl","Plazas traseras limitadas,Distancias de frenado,Consumo elevado,Precio elitista,Garantía"
Ford Ecosport 1.5 Titanium MT,Ford,EcoSport 1.5 Titanium MT,7.6,7.5,7.6,7.3,7.8,"Equipamiento de serie,Diseño/Terminación,Consumos,Suspensiones,Prestaciones generales","Auxilio externo,Apertura portón,Precio comparativo,Sin opción de caja manual de sexta,Motor en ralentí"
Nissan Kicks Exclusive 1.6 CVT,Nissan,Kicks Exclusive 1.6 CVT,7.3,7.8,7.3,7.2,7.0,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía"
Chery Tiggo 5 Comfortline,Chery,Tiggo 5 Comfortline,7.0,7.0,7.0,6.8,6.5,"Habitabilidad,Nuevo lenguaje de diseño,Auxilio original,Precio/tamaño,Versiones con ESP","Calidad general,Seguridad ,Prestaciones,Consumos,Capacidad de baúl"
Honda Civic EX-T 1.5 AT,Honda,Civic EX-T 1.5 AT,7.7,7.8,7.8,8.0,8.2,"Prestaciones/consumos,Habitabilidad,Capacidad de baúl,Evolución estética","Solo versiones automáticas,Precio,Algunos faltantes de confort,Auxilio temporal"
Hyundai Genesis 2.0 AT,Hyundai,Genesis 2.0 AT,7.9,7.5,6.9,8.2,8.4,"Diseño logrado,Comportamiento dinámico,Precio comparativo,Prestaciones deportivas,Consumo/Autonomía","Plazas traseras muy limitadas,Boca de carga baúl/Aux temporal,Faltantes de equipamiento,Visibilidad panorámica,Distancia de frenado"
Lifan X50 Full Plus 1.5 MT,Lifan,X50 Full Plus 1.5 MT,6.8,6.6,6.9,6.6,6.7,"Confort de marcha,Equipamiento de confort,Diseño atractivo,Capacidad de baúl","Eficiencia de los frenos,Autonomía ,Prestaciones,Unica versión"
Mercedes Benz Vito Tourer 2.0 MT,Mercedes Benz,Vito Tourer 2.0 MT,7.4,7.5,6.9,7.4,7.7,"Habitabilidad,Plazas posteriores,Capacidad de baúl,Desempeño dinámico","Faltantes de equipamiento,Velocidad máxima,Solo dos airbags,Calidad general"
Jeep Cherokee Trailhawk 3.2 AT9,Jeep,Cherokee Trailhawk 3.2 AT9,7.4,7.2,7.7,7.5,7.3,"Calidad general,Capacidad off road,Confort de marcha,Desempeño dinámico,Aislación acústica","Quinta plaza,Consumo urbano,Visibilidad panorámica,Diámetro de giro,Garantía"
Kia Cerato SX Hatchback 2.0 AT,Kia,Cerato SX Hatch 2.0 AT6,7.3,7.4,7.2,7.2,7.5,"Diseño,Calidad General,Auxilio homogéneo,Confort de marcha,Garantía","Cinturón abdominal en quinta plaza,Prestaciones domésticas,Gama acotada,Faltantes de equipamiento,Sin versión manual"
Jeep Renegade Trailhawk 2.0 Diésel 4×4,Jeep,Renegade Trailhawk 2.0 Multijet AT9 4x4,7.2,7.2,7.6,7.3,7.3,"Diseño personal,Equipamiento,Robustez estructural,Off Road / Tracción","Radio de giro limitado,Baúl justo,Sensibilidad al viento,Precio comparativo"
BMW 540i M Sport,BMW,540i M Sport,8.4,8.9,8.7,8.5,8.6,"Equipamiento/Multimedia,Materiales/Calidad,Prestaciones/Frenos,Comportamiento dinámico,Consumos","Dosificación,Precio comparativo,Auxilio temporal,Visibilidad panorámica,Maniobrabilidad"
Peugeot 3008 GT-Line THP,Peugeot,3008 GT-Line THP,7.9,8.0,8.1,7.7,8.1,"Comportamiento equilibrado,Consumos,Perfomances,Calidad interior,Equipamiento","Comportamiento off road,Espacio interior,Auxilio temporal,Posición de manejo,Distancias de frenado"
Fiat Tipo Easy,Fiat,Tipo Easy,7.6,7.7,7.6,7.4,7.2,"Equipamiento,Habitabilidad/baúl,Diseño logrado,Capacidad de frenado,Precio competitivo","Recuperaciones,Reacción lenta de la caja,Tanque chico,Auxilio temporal,Ausencia de navegador"
Citroën SpaceTourer Feel,Citroën,SpaceTourer Feel,7.3,7.1,7.3,6.7,7.3,"Consumo/autonomía,Equipamiento,Versatilidad,Comportamiento equilibrado,Frenos","Eje posterior rígido,Sensibilidad al viento,Selector de caja,Sin cámara,Dirección pesada"
Peugeot 5008 Allure Plus THP,Peugeot,5008 Allure Plus THP,7.9,8.2,7.9,7.5,7.9,"Equipamiento,Prestaciones,Terminaciones,Consumos,Seguridad","Tercera fila limitada,Distancias de frenado,Auxilio temporal,Precio,Comportamiento off road"
Fiat Argo Drive Pack Conectividad,Fiat,Argo Drive Pack Conectividad,7.0,7.4,6.9,7.0,7.0,"Habitabilidad,Capacidad de baúl,Direccioón eléctrica ,Confort de marcha","Consumo,Recorridos de la caja,Auxilio temporal,Sin ESP"
Fiat 500x Cross Plus 1.4 AT,Fiat,500x Cross Plus 1.4 AT,7.5,7.3,7.5,7.7,7.8,"Equipamiento,Calidad general,Diseño,Prestaciones correctas,Auxilio homogéneo","Quinta plaza,Precio elevado,Sin chapón,Consumo,Distancias de frenado"
Mini Cooper Countryman S Chili 2.0 AT,Mini,Countryman S Chili 2.0 AT,8.0,8.0,8.0,8.5,8.2,"Habitabilidad,Prestaciones,Consumo contenido,Conducción agradable,Suspensiones equilibradas","Run Flat ,Freno hipersensible,Precio elevado,Butacas manuales,Visibilidad posterior"
Peugeot 208 HDi 1.6 MT,Peugeot,208 HDi 1.6 MT,7.4,7.4,7.5,7.4,8.0,"Diseño,Equipamiento general,Consumos/Autonomia,Comportamiento","Precio,Selectora de caja,Garantía,Solo una versión"
Ford Ranger XL 4×4,Ford,Ranger XL 4x4,7.0,6.6,6.6,6.9,7.2,"Seguridad,Rigidez estructural,Capacidad off road,Habitalidad","Faltantes de confort,Andar saltarín,Selector de caja,Distancia de frenado"
Renault Koleos Intens CVT 2.5 4WD,Renault,Koleos Intens CVT 2.5 4WD,7.5,8.0,7.8,7.5,7,"Habitabilidad,Equipamiento,Terminaciones,Sistema de tracción,Comportamiento equilibrado","Motor de larga data,Precio elevado,Consumo urbano,Prestaciones domésticas,Sin chapón protector"
Suzuki Baleno 1.4 GLX MT,Suzuki,Baleno 1.4 GLX MT,7.1,7.3,7.4,7.1,6.7,"Espacio interior/Baúl,Confort de marcha,Consumo en ruta,Poder lumínico,Motor elástico","Sensibilidad al viento,Autonomía,Recuperaciones,Auxilio temporal,Presentación interior"
Volkswagen Polo 1.6 AT6 Highline,Volkswagen,Polo 1.6 AT6 Highline,7.4,7.6,7.1,7.8,7.3,"Estética agradable,Espacio interior,Presentación interior,Consumo contenido,Instrumental","Auxilio temporal,Precio comparativo,Potencia limitada,Distancias de frenado,Prestaciones en general"
Fiat Cronos Precision Premium 1.8 MT,Fiat,Cronos Precision Premium 1.8 MT,7.4,7.4,7.4,7.1,7.3,"Diseño,Equipamiento de confort,Distancia de frenado,Confort de marcha,Motor con cadena","Consumo,Prestaciones domésticas,Autonomía,Radio de giro,Caja imprecisa"
Porsche 718 Cayman S,Porsche,718 Cayman S,7.9,7.2,8.0,8.7,8.9,"Prestaciones,Comportamiento,Consumo,Mecánica","Precio,Sin auxilio (kit),Confort de marcha,Capacidad de baúl"
Fiat 500 Abarth 595 Turismo,Fiat,500 Abarth 595 Turismo,7.7,7.0,7.9,8.3,8.3,"Diseño,Desempeño dinámico,Consumo/Prestaciones,Potencia CV/Litro","Caja de solo 5ta,Plazas traseras/Baúl,Sin auxilio/Kit,Confort de marcha"
Renault Captur Intens 1.6 CVT,Renault,Captur Intens 1.6 CVT,7.2,7.4,7.3,7.2,6.9,"Equipamiento,Confort de marcha,Diseño,Robustez estructural","Radio de giro,Baúl limitado,Consumo en ciudad,Prestaciones"
Volkswagen Tiguan 2.0 TSI Allspace 4Motion DSG,Volkswagen,Tiguan 2.0 TSI Allspace 4Motion DSG,8.4,8.7,8.5,8.2,8.3,"Nivel de equipamiento,Calidad general,Distancias de frenado,Prestaciones,Espacio interior","Baúl con 7 plazas,Visibilidad panorámica,Autonomía,Auxilio temporal,Consumos"
Fiat Cronos Drive 1.3 MT,Fiat,Cronos Drive 1.3 MT,6.9,7.1,6.4,6.7,7.5,"Confort de marcha,Precio atractivo,Baúl espacioso,Conectividad,Consumos contenidos","Prestaciones,Selector,Equipamiento de seguridad,Comportamiento dinámico,Ausencia de ESP"
Honda CR-V EXT 1.5 AT,Honda,CR-V EXT 1.5 AT,8,9.3,8,8,7.9,"Habitabilidad,Equipamiento,Terminaciones,Confort de marcha,Distancia de frenado","Off road limitado,Precio elevado,Consumos urbanos,Sin sensores delanteros,Solo una versión"
Volkswagen Virtus 1.6 MSI Highline AT,Volkswagen,Virtus 1.6 MSI Highline AT,7.7,8,7.6,8,7.2,"Espacio interior/baúl,Suspensiones,Consumo austero,Distancias de frenado,Agrado de conducción","Auxilio temporal,Prestaciones modestas,Seguridad mejorable,Relación peso/potencia,Precio comparativo"
Nissan X-Trail Exclusive 2.5 CVT 4×4,Nissan,X-Trail Exclusive 2.5 CVT 4x4,7.6,7.8,7.6,7.6,7,"Capacidad off road,Espacio interior,Precio comparativo,Confort de marcha,Consumo en ruta","Consumo en ciudad,Multimedia mejorable,Tecnología escueta,Rediseño en Europa,Gama acotada"
Kia Rio EX 1.6 AT Premium,Kia,Rio EX 1.6 AT Premium,7.6,7.7,7.6,7.9,7.3,"Habitabilidad/baúl,Con ESP de serie,Terminaciones,Caja automática,Comportamiento equilibrado","Faltantes de confort,ESP solo en Full,Precio,Consumo urbano,Prestaciones domésticas"
Ford Fiesta SE Plus 1.6 AT,Ford,Fiesta SE Plus 1.6 AT,7.1,7,7,7.2,7.2,"Equipamiento de confort,Mejora de la caja,Presentación interior,Confort de marcha,ESP en toda la gama","Baúl,Habitabilidad,Equipamiento de seguridad,Opción secuencial impráctica,Rediseño básico"
Chevrolet Camaro SS Cabrio,Chevrolet,Camaro SS Cabrio,7.5,7.2,7.6,8,7.6,,
Citroën C4 Lounge 1.6 VTi Live,Citroën,C4 Lounge 1.6 VTi Live,7.3,7.5,7.2,7.5,7,"Confort de marcha,Distancia de frenado,Selectora de caja,Plazas posteriores","Consumo en ciudad,Auxilio temporal,Instrumental,Sin sensores traseros"
Renault Logan Privilege Plus,Renault,Logan Privilege Plus,7.1,7.2,7.4,7.0,6.9,"Diseño mejorado,Equipamiento versión full,Espacio interior/Baúl,Confort de marcha,Relación precio/producto","Comportamiento dinámico,Pedal de freno ""gomoso"",Insonorización mejorable,Ausencia de ""one touch"",Recorrido selector de caja"
BMW M5 V8 2013,BMW,M5 V8 (2013),8.3,8.5,8.5,8.5,8.4,"Prestaciones brutales,Tecnología aplicada ,Comportamiento deportivo,Configuraciones múltiples,Equipamiento/terminación ,Diseño más agresivo ,Motor/elasticidad","Run flat sin auxilio,Distancia de frenado promedio,Visibilidad posterior,Parking sólo con motor apagado,Consumo en ciudad, Maniobrabilidad limitada,Selector de caja poco intuitivo"
