Nombre,Marca,Modelo,C_General,C_Vida,C_Diseño,C_Manejo,C_Performance,A_favor,En_contra
Volkswagen Tiguan Allspace 2.0 TDI 4Motion,Volkswagen,Tiguan Allspace 2.0 TDI 4Motion,8.0,8.1,8.2,8.0,7.9,"Consumo austero,Habitabilidad correcta,Distancias de frenado,Baúl con cinco plazas","Auxilio temporal,Baúl limitado con 7 plazas,Espacio reducido 3ra fila,Precio elevado"
Honda WR-V EX-L,Honda,WR-V EX-L,7.3,7.7,7.4,7.3,7.1,"Confort de marcha ,Espacio interior ,Percepción de calidad ,Multimedia ,Maniobrabilidad","Falta de ESP ,Estética cuestionable ,Consumo urbano ,Prestaciones ,Autonomía limitada"
Toyota Etios Hatchback XLS AT,Toyota,Etios Hatchback XLS AT,7.2,7.3,6.6,7.2,7.5,"Eficiencia del motor,Equilibrio suspensiones,Habitabilidad general,ESP de serie,Garantía","Ubicación instrumental,Multimedia anticuada,Posición de manejo,Distancias de frenado,Caja de 4ta"
Porsche Macan,Porsche,Macan,8.0,8.0,8.5,8.1,8.5,"Prestaciones,Comportamiento general,Equipo de confort,Capacidad de baúl","Garantía limitada,Capacidades off road,Plazas traseras,Precio comparativo"
Volkswagen Tiguan Allspace 1.4 TSI DSG 4×2,Volkswagen,Tiguan Allspace 1.4 TSI DSG 4x2,8.0,8.3,8.1,8.1,7.9,"Eficiencia de los frenos,Consumo promedio,Precio comparativo,Espacio interior,Baúl con cinco plazas","Baúl con 7 plazas,Luces halógenas,Espacio tercera fila,Auxilio temporal,Equipamiento acotado"
Toyota Camry V6 3.5 Automático,Toyota,Camry V6 3.5 AT,8.0,8.4,7.8,7.7,7.7,"Prestaciones,Habitabilidad,Confort urbano,Baúl/auxilio,Multimedia","Consumo,Faltantes de equipamiento,Autonomía,Sin levas,Precio para generalista"
Audi Q2 Sport 1.4 AT,Audi,Q2 Sport 1.4 AT,7.9,7.9,7.9,7.8,8.1,"Diseño juvenil,Motor/caja,Alcance lumínico,Consumo,Instrumental","Auxilio temporal,Precio comparativo,Confort en ciudad,Plazas posteriores,Precio con opcionales"
Chevrolet Onix Plus Premier II AT,Chevrolet,Onix Plus Premier AT,7.9,7.8,7.9,7.5,7.9,"Prestaciones,Desempeño dinámico,Consumos contenidos,Mejoras en seguridad,Habitabilidad posterior,Multimedia y Wifi,Precio competitivo","Comando de caja,Algunos materiales,Capacidad tanque/baúl,Vibraciones en ralentí,Auxilio temporal"
Hyundai Ioniq,Hyundai,Ioniq,7.8,7.9,7.6,8.0,7.8,"Eficiencia,Comportamiento equilibrado,Precio comparativo,Habitabilidad","Sin modo EV,Auxilio temporal,Faltantes de equipamiento"
Jeep Wrangler,Jeep,Wrangler Unlimited Rubicon,7.3,7.6,8.0,7.4,7.6,"Capacidad off road,Look imponente,Calidad general,Modularidad carrocería,Equipamiento de confort","Eficiencia del V6,Precio elevado,Distancia de frenado,Sin ADAS,Rumorosidad"
Renault Logan Intens 1.6 CVT,Renault,Logan Intens 1.6 CVT,7.1,7.2,7.4,6.8,7.0,"Despeje del suelo,Habitabilidad,Multimedia mejorada,Capacidad de baúl,ESP y 4 airbags,Precio competitivo","Asistencia de la dirección,Vibraciones en D (parado),Rigidez de la suspensión,Consumo en ciudad,Calidad materiales,Auxilio temporal"
Volkswagen Amarok V6 258 CV Black Style,Volkswagen,Amarok V6 Black Style,7.8,7.9,7.6,8.2,7.9,"Potencia incrementada,Confort de marcha,Look diferencial,Consumo mixto,Posición de manejo","Sin airbags de cortina,Falta de ADAS,Neumáticos citadinos,Sólo automática"
Audi Q8 55 TFSI 3.0 V6 Quattro,Audi,Q8 55 TFSI 3.0 V6 Quattro,8.2,8.0,8.8,8.1,8.3,"Diseño diferenciador,Presentación general,Comodidad interior,Capacidad de Baúl,Equipamiento de serie,Suspensiones adaptativas","Dirección sobreasistida,Precio con opcionales,Faltan portaobjetos,Dosificación pedal de freno"
Renault Kangoo Stepway 1.6 SCe,Renault,Kangoo Stepway 1.6 SCe,7.2,7.2,7.0,7.0,7.3,"ESP,Tratamiento off road,Incorporación del MediaNAV","Solo airbag frontales,Detalles de calidad,Faltantes de confot"
Kia Sorento EX 2.2 4×4 Diesel,Kia,Sorento EX 2.2 4x4 Diésel,7.8,8.2,7.7,7.7,7.7,"Confort de marcha,Habitabilidad,Prestaciones,Calidad general,Garantía","Precio,Sin navegador,Consumo urbano,Sin levas,Acceso a la tercera fila"
Audi Q5 Quattro 2.0 AT,Audi,Q5 quattro 2.0 AT,8.4,8.6,8.4,8.2,8.0,"Confort de marcha,Habitabilidad,Prestaciones,Insonorización,Diseño","Precio,Sin cámara,Consumo (promedio),Auxilio temporal,Quinta plaza"
Toyota Etios sedán XLS,Toyota,Etios sedán XLS,7.2,7.1,7.0,7.2,7.2,"Espacio interior,Consumo en ruta,Caja de 6 relaciones,Habitabilidad/Tamaño baúl","Algunos faltante de equipamiento de confort,Respuesta táctil de la pantalla,Ubicación de tablero"
Honda Fit EXL 1.5 AT,Honda,Fit EXL 1.5 AT,7.5,7.4,7.7,7.7,7.4,"ESP/Seis airbags,Habitabilidad,Consumo,Calidad general,Confiabilidad","Precio,Unica versión,Autonomía,Auxilio temporal,Reacción CVT"
Chevrolet Spin LTZ 1.8 AT,Chevrolet,Spin LTZ 1.8 AT,6.9,6.5,6.6,6.6,6.5,"Diseño más atractivo,Presentación interior,Confort de marcha,Precio comparativo","Equipamiento de seguridad,Comportamiento dinámico,Consumos en ciudad,Comportamiento de caja"
Volkswagen Vento 1.4 TSI Highline Tiptronic,Volkswagen,Vento Highline 1.4 TSI Highline Tiptronic,7.9,8.1,7.9,8.1,8.1,"Equipamiento,Terminación,Prestaciones correctas,Consumo contenido,Comportamiento dinámico","Precio comparativo,Distancias de frenado,Levas no disponibles,Espejos eléctricos no rebatibles,Auxilio temporal"
Toyota Hilux SRX 4×4 MT,Toyota,Hilux SRX 4x4 MT,7.7,7.6,7.7,7.4,7.7,"Garantía,Durabilidad,Capacidad off road,Consumos","Confort de marcha,Selector de caja,Quinta plaza,Actualización a medidas"
Toyota Yaris 1.5 S 5 puertas,Toyota,Yaris 1.5 S MT 5 puertas,7.6,7.4,7.6,7.8,7.5,"Motor y transmisión,Equilibrio suspensiones,Garantía extendida,Consumos,Habitabilidad","Distancias de frenado,Sin sensor trasero,Algunas terminaciones,Posición de manejo,Autonomía"
Alfa Romeo Giulietta Veloce 1.8 AT,Alfa Romeo,Giulietta Veloce 1.8 AT,7.7,7.4,7.3,7.7,8.4,"Potencia disponible,Comportamiento,Calidad,Equipamiento,Diseño atractivo","Espacio posterior,Confort de marcha,Auxilio temporal,Precio elevado,Caja poco eficiente"
Chevrolet Equinox 1.5 Premier AT 4×4,Chevrolet,Equinox 1.5 Premier AT 4x4,7.7,8.2,7.7,7.7,7.3,"Equipamiento,Habitabilidad,Relación CV/Litro,Comportamiento equilibrado,Presentación","Opción 4x4,Consumo urbano,Baúl mejorable,Auxilio temporal,Gama acotada"
Fiat Uno Way,Fiat,Uno Way,7.1,7.3,6.9,7.3,7.1,"Confort de marcha,ESP de serie,Multimedia completa,Calidad percibida","Baúl acotado,Única versión,Espacio trasero,Restyling antiguo"
Nissan Frontier 2.3 LE 4X4 AT,Nissan,Frontier 2.3 LE 4X4 AT,7.6,8.2,7.8,7.7,8.0,"Equipamiento mejorado,Confort de marcha,Neumáticos más off road,Precio final","Sin bloqueo diferencial trasero,Posición de manejo,Algunas terminaciones,Garantía"
Renault Duster Oroch 4×4,Renault,Duster Oroch 4x4,7.0,7.3,6.6,6.9,6.0,"Gama on y off road,Confort de marcha,All mode 4x4,Habitabilidad,Robustez","Motor antiguo,Capacidad de carga,Calidad mejorable,Portón pesado,Equipamiento de seguridad"
Fiat Toro 1.8 naftera AT6,Fiat,Toro Freedom 1.8 AT6,7.3,7.5,7.7,7.4,6.5,"Diseño personal,Presentación interior,Equipamiento de serie,Precio comparativo","Consumo elevado,Plazas traseras justas,Error velocímetro (11%),Recuperaciones/Elasticidad"
Volkswagen Saveiro Cross,Volkswagen,Saveiro Cross,6.9,7.0,6.7,6.9,7.1,"Confort,Con ESP,Gama variada,Estética","Plazas posteriores,Volúmen de carga,Prestaciones domésticas,Caja de cinco relaciones"
Hyundai Veloster 1.6T Ultimate 7DCT,Hyundai,Veloster 1.6T Ultimate 7DCT,8.0,7.8,7.8,8.3,8.6,"Estética diferencial,Performance,Comportamiento,Equipamiento,Gama completa","Acceso a plazas traseras,Auxilio temporal,Solo para cuatro,Algunos plásticos,Visibilidad"
Honda HR-V EXL,Honda,HR-V EXL,7.2,7.4,7.5,7.7,7.6,"Equipamiento de seguridad/Frenos,Eficiencia del motor,Habitabilidad/Baúl,Función manual CVT,Calidad de terminación","Faltantes de confort,Auxilio temporal,Solo 4x2,Luces mejorables,Sin antiniebla trasero"
Audi A3 2.0T Sedán S Line,Audi,A3 2.0T Sedán S Line,8.1,8.0,7.6,8.5,8.5,"Consumo austero,Percepción de calidad ,Motor eficiente,Agrado de conducción","Precio elevado ,Plaza trasera central ,Diseño convencional ,Visibilidad posterior "
Hyundai Kona Ultimate,Hyundai,Kona Ultimate,7.7,8.0,8.5,7.6,7.6,"Prestaciones,Comportamiento gral,Equip. de seguridad,Look diferencial,Vida a bordo","Auxilio temporal,Precio elevado,Consumo en ciudad,Baúl justo,Habitabilidad"
Audi A5 Coupe Stronic Quattro,Audi,A5 coupé Quattro,7.9,7.9,8.0,8.5,8.2,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado"
Jeep Renegade Trailhawk,Jeep,Renegade Trailhawk,7.4,7.3,7.4,7.3,7.4,"Equip/Multimedia,Seguridad,Robustez,Tracción,Autonomía","Radio de giro,Precio comparativo,Baúl,Sensibilidad al viento,Distancia de frenado"
Hyundai Veloster N,Hyundai,Veloster N,7.8,8.0,7.7,8.4,8.0,"Prestaciones,Comp. dinámico,Asistencias deportivas,Look diferencial,Consumo en ruta","Radio de giro,Auxilio temporal,Plazas traseras,Confort de marcha,Consumo en ciudad"
Volkswagen T-Cross Highline,Volkswagen,T-Cross Highline,7.7,7.5,8.0,8.1,7.2,"Habitabilidad,Percepción de calidad,Insonorización,Comportamiento dinámico","Prestaciones,Precio elevado,Auxilio temporal,Ausencia de opción 4x4"
Jeep Compass MY2019 Limited Plus,Jeep,Compass MY2019 Limited Plus,7.6,7.8,7.9,7.7,7.0,"Equip./Seguridad,Materiales,Plazas posteriores,Comp. equilibrado,Sistema de tracción","Baúl justo,Consumo urbano,Precio ,Distancias de frenado,Caja con patinamiento"
Toyota RAV4 Limited Hybrid,Toyota,RAV4 Limited,8.2,8.0,8.6,8.1,8.3,"Consumos,Eq. de seguridad,Capacidad de baúl,Auxilio original,Potencia combinada","Precio elevado,Multimedia,Capacidad off road,Maniobrabilidad,Solo híbrido"
Renault Kwid Outsider,Renault,Kwid Outsider,6.6,6.8,6.4,6.5,6.6,"Multimedia,Precio comparativo,Capacidad de baúl,Auxilio original,Cuatro airbags","Comp. dinámico,Autonomía,Posición de manejo,Habitabilidad trasera,Manejo en ruta"
Nissan Leaf,Nissan,Leaf,7.9,8.2,8.0,8.0,7.8,"Autonomía en ciudad,Equilibrio de suspensiones,Equipamiento de seguridad,e-Pedal,Prestaciones,Capacidad de baúl,Insonorización,Garantía sistema EV","Faltantes en confort,Autonomía en ruta,Tiempo de carga en 220v,Freno estacionamiento,Precio"
Volkswagen Vento GLI,Volkswagen,Vento GLI,8.0,8.0,8.0,8.4,8.3,"Prestaciones,Comportamiento dinámico,Eficiencia de los frenos,Recuperaciones","Precio elevado,Auxilio temporal,Espacio posterior justo"
Toyota Innova SRV 2.7 Automática,Toyota,Innova SRV 2.7 AT,7.6,8.0,7.3,7.5,7.1,"Calidad percibida,Seguridad en 8 plazas,Configuración de butacas,Baúl con tercera fila rebatida,Precio comparativo","Rigidez de la suspensión,Consumos elevados,Faltantes de equipamiento,Sensores de estacionamiento,Sin opción diésel"
Renault Kwid Iconic 1.0 MT,Renault,Kwid Iconic 1.0 MT,6.8,6.5,6.5,6.7,6.5,"Multimedia,Precio comparativo,Capacidad de baúl,Motor moderno,Cuatro airbags","Comportamiento dinámico,Autonomía,Posición de manejo,Habitabilidad trasera,Manejo en ruta"
Volkswagen Golf 1.4 TSI Highline,Volkswagen,Golf 1.4 TSI Highline,8.0,8.3,7.9,8.3,8.1,"Diseño “Golf” actualizado ,Materiales/Terminación ,Equilibrio de suspensiones ,Insonorización ,Prestaciones/Consumo","Ausencia de levas al volante ,Navegador no disponible de serie ,Quinta plaza limitada, Reglaje manual de butacas ,Radio de giro mejorable"
Honda HR-V EXL (2015),Honda,HR-V EXL (2015),7.2,7.4,7.5,7.7,7.6,"Equipamiento de seguridad/Frenos,Equipamiento de seguridad/Frenos,Eficiencia del motor,Habitabilidad/Baúl,Función manual CVT,Calidad de terminación","Faltantes de confort,Auxilio temporal,Solo 4x2,Luces mejorables,Sin antiniebla trasero,Visibilidad panorámica justa"
Renault Duster Privilege 1.6,Renault,Duster Privilege 1.6,7.0,6.9,6.6,6.8,7.2,"Robustez,Central media,Confort de marcha,Motor eficiente","Faltantes de seguridad,Materiales mejorables,Precio en relación al 2.0,Insonoridad en ruta"
Volkswagen Polo 1.6 Comfortline MT,Volkswagen,Polo 1.6 Comfortline MT,7.4,7.6,7.5,7.6,7.7,"Motor/Consumo,Plazas traseras,Prestaciones,Equilibrio suspensiones,Capacidad del baúl","Faltantes de equipamiento,Insonorización,ESP no disponible,Diseño convencional,Sin sensores estacionamiento/lluvia"
Nissan NP300 Frontier LE AT (2016),Nissan,Frontier LE 4x4 AT (2016),7.7,8.0,7.8,7.9,8.4,"Diseño,Mejoras de equipamiento,Prestaciones,Confort de marcha ","Precio,Solo dos airabgs,Posición de manejo,Algunas terminaciones"
Volkswagen Golf GTi DSG (2.0/220CV),Volkswagen,Golf GTi DSG 2.0,8.1,8.2,7.9,8.6,8.1,"Prestaciones/Caja DSG, Motor eficiente/Elasticidad, Terminación/Materiales,Equipamiento de serie ,Suspensiones equilibradas","Precio elevado ,Distancias de frenado justas ,Valores de consumo ,Auxilio temporal ,Visibilidad posterior"
Toyota SW4 4×4 SRX MT,Toyota,SW4 4x4 SRX MT,7.7,7.6,7.9,7.7,7.8,"Aptitudes off road ,Equipamiento de serie ,Robustez estructural,Imagen de confiabilidad ,Opticas Bi-LED ,Selector de tracción","Sistema rebatible 3ª fila ,Recuperaciones en 5ª y 6ª ,Radio de giro limitado ,Respuesta lenta de dirección ,Sensible a vientos laterales, Precio elevado"
Fiat Toro Volcano 4×4 2.0 170 CV,Fiat,Toro Volcano 4x4 2.0 170 CV,7.7,7.8,7.9,7.5,7.8,"Calidad de materiales,Desempeño dinámico en ruta,Consumos,Capacidad de caja","Gama acotada (solo un motor),Auxilio temporal,Plazas traseras acotadas,Pocos portaobjetos"
Chevrolet Cruze LTZ Plus,Chevrolet,Cruze LTZ Plus,8.1,7.9,8.0,7.8,8.3,"Estética deportiva,Equipamiento de serie confort,Tecnología aplicada,Prestaciones,Precio comparativo","Diseño impersonal,Auxilio temporal,Visibilidad panorámica,Dirección sobreasistida,Confort en ciudad"
Renault Sandero R.S.,Renault,Sandero R.S.,7.6,7.2,7.4,8.2,7.8,"Nivel de prestaciones ,Comportamiento dinámico,Espacio interior/baúl,Precio atractivo,Respuesta de los frenos","Confort en ciudad,Auxilio temporal,Calidad mejorable,Seguridad pasiva,Regulación del volante"
Fiat Mobi Easy Top,Fiat,Mobi Easy Top,6.7,6.7,6.4,6.8,6.0,"Precio contenido,Maniobrabilidad urbana,Garantía de tres años,Consumo reducido","Prestaciones limitadas,Espacio interior,Baúl pequeño,Selector de caja gomoso"
Hyundai Tucson Full Premium 4×4 AT CRDi,Hyundai,Tucson Full Premium 4x4 AT CRDi,7.9,8.3,8.3,7.8,7.9,"Prestaciones/Motor eficiente,Consumo a velocidades constantes ,Diseño atractivo,Equipamiento de serie,Suspensiones equilibradas","Precio elevado,Distancias de frenado justas,Capacidad de baúl,Consumo urbano,Potencia luminica"
Chevrolet S10 High Country 4×4 AT,Chevrolet,S10 High Country 4x4 AT,7.6,7.3,7.8,7.5,8.2,"Potencia/torque,Mejora de equipamiento,Prestaciones/eficiencia del motor,Precio competitivo","Faltantes de seguridad,Auxilio de diferente medida,Visibilidad panorámica ,Consumo en ciudad"
Renault Megane R.S. Coupé,Renault,Megane R.S. Coupé,7.8,7.4,7.7,8.5,8.3,"Diseño impactante,Comportamiento de competición,Posición de manejo/Butacas,Rigidez del chasis/Suspensiones,Motorización,Prestaciones deportivas","Plazas traseras,Visibilidad panorámica,Confort de marcha penalizado,Distancias de frenado estándar,Consumo en ciudad,Precio elevado"
Chevrolet Onix LTZ AT,Chevrolet,Onix LTZ AT,7.2,7.0,7.0,7.0,7.0,"Precio,Consumo,Garantía,Equipamiento de confort","Seguridad,Auxilio temporal,Dirección algo pesada"
Renault Captur Intens 2.0 MT,Renault,Captur Intens 2.0 MT,7.3,7.2,6.8,7.3,7.2,"Diseño atractivo,Confort de marcha,Espacio interior y baúl,Equipamiento de confort,Selector de caja","Gama reducida,Dirección liviana,Distancias de frenado,Auxilio temporal,Posición de manejo mejorable"
Volkswagen Touareg V8 4.2 AT,Volkswagen,Touareg V8 4.2 AT,8.2,8.3,8.1,8.1,8.2,"Prestaciones deportivas,Suspensiones equilibradas,Posición de manejo,Espacio interior,Conducción agradable","Auxilio temporal,Maniobrabilidad urbana,Precio elevado,Consumo en transito pesado,Visibilidad panoramica"
Volkswagen Vento 1.4 TSI Highline DSG (2016),Volkswagen,Vento 1.4 TSI Highline DSG (2016),7.9,8.0,8.0,8.2,8.3,"Balance de suspensiones,Prestaciones correctas,Auxilio y llantas homogéneos,Capacidad de baúl,Conducción agradable","Diseño exterior convencional,Algunos faltantes de equipamiento,Navegador no disponible,Luces halógenas,Precio comparativo"
Chevrolet Tracker LTZ AWD,Chevrolet,Tracker LTZ AWD,7.3,7.2,7.0,7.4,7.2,"Equipamiento de seguridad,Tecnología aplicada,Calidad general,Nuevo diseño del tablero","Capacidad de baúl,Comportamiento off road,Auxilio temporal,Unión motor/caja"
Nissan Murano Exclusive CVT,Nissan,Murano Exclusive CVT,8.0,8.3,8.1,7.4,8.0,"Estética deportiva,Potencia disponible,Calidad general,Consumo contenido,Confort de marcha","Capacidad off road,Sin levas al volante,Faltantes de equipamiento,Precio elevado,Sistema multimeda/navegador"
Toyota Corolla SE-G,Toyota,Corolla SE-G,7.7,7.6,7.5,7.7,7.6,"Equipamiento,Faros bi led,Habitabilidad,Confiabilidad","Radio de giro,Tenida direccional,Despeje delantero,Auxilio temporal"
Volkswagen Passat 2.0 TSI Highline,Volkswagen,Passat 2.0 TSI Highline,8.3,8.6,8.5,8.4,8.1,"Equipamiento de serie,Espacio interior,Diseño/Terminación,Suspensiones,Prestaciones","Visibilidad posterior,Consumo promedio,Precio comparativo,Ordenador poco intuitivo,Gama reducida"
Toyota Prius CVT,Toyota,Prius CVT,7.7,7.7,7.8,7.5,7.8,"Consumo/autonomía,Equipo de seguridad,Agrado de uso,Confort de marcha,Garantía de 6 años","Visibilidad posterior,Prestaciones limitadas,Selector de caja,Despeje delantero,Diseño"
Hyundai Creta Connect AT,Hyundai,Creta Connect AT,7.2,7.3,7.3,7.3,7.1,"Habitabilidad/baúl,Con ESP de serie,Terminaciones,Caja automática,Comportamiento equilibrado","Faltantes de confort,Solo dos airbags,Precio,Consumo urbano,Prestaciones domésticas"
Jeep Compass Longitude 4×4,Jeep,Compass Longitude 4x4,7.6,7.7,8.2,7.8,7.5,"Plazas traseras espaciosas,Diseño exterior/interior,Equilibrio de suspensiones,Tracción con 4 funciones,Terminaciones correctas","Relación peso/potencia ,Visibilidad panorámica,Relaciones de caja “largas”,Consumo promedio ,Ausencia navegador de serie"
Volkswagen Amarok V6 TDI 4motion,Volkswagen,Amarok V6 TDI 4motion,7.8,8.1,8.0,7.6,8.0,"Prestaciones,Eficiencia de la transmisión,Comportamiento dinámico,Equilibrio de suspensiones,Equipamiento de serie","Respaldos de plazas traseras,Consumo urbano,Maniobrabilidad en ciudad,Precio comparativo,Visibilidad panorámica"
Fiat Argo Precision Pack Premium 1.8 MT,Fiat,Argo Precision Pack Premium 1.8 MT,7.3,7.3,7.3,7.1,7.3,"Equipamiento de confort,Gama variada,Relación precio producto,Control de estabilidad,Confort de marcha","Consumo,Prestaciones domésticas,Sin navegador,Diseño impersonal,Radio de giro"
Volkswagen Up! Pepper 1.0 MT,Volkswagen,Up! Pepper 1.0 MT,7.0,6.6,6.6,7.2,7.9,"Relación peso potencia,Inclusión del ASR,Presentación interior,Agilidad en ciudad","Falta ESP,Precio comparativo,Plazas traseras,Poder lumínico"
Nissan Kicks Exclusive 1.6 CVT,Nissan,Kicks Exclusive 1.6 CVT,7.3,7.8,7.3,7.2,7.0,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía"
Honda Civic EX-T 1.5 AT,Honda,Civic EX-T 1.5 AT,7.7,7.8,7.8,8.0,8.2,"Prestaciones/consumos,Habitabilidad,Capacidad de baúl,Evolución estética","Solo versiones automáticas,Precio,Algunos faltantes de confort,Auxilio temporal"
Hyundai Genesis 2.0 AT,Hyundai,Genesis 2.0 AT,7.9,7.5,6.9,8.2,8.4,"Diseño logrado,Comportamiento dinámico,Precio comparativo,Prestaciones deportivas,Consumo/Autonomía","Plazas traseras muy limitadas,Boca de carga baúl/Aux temporal,Faltantes de equipamiento,Visibilidad panorámica,Distancia de frenado"
Jeep Cherokee Trailhawk 3.2 AT9,Jeep,Cherokee Trailhawk 3.2 AT9,7.4,7.2,7.7,7.5,7.3,"Calidad general,Capacidad off road,Confort de marcha,Desempeño dinámico,Aislación acústica","Quinta plaza,Consumo urbano,Visibilidad panorámica,Diámetro de giro,Garantía"
Kia Cerato SX Hatchback 2.0 AT,Kia,Cerato SX Hatch 2.0 AT6,7.3,7.4,7.2,7.2,7.5,"Diseño,Calidad General,Auxilio homogéneo,Confort de marcha,Garantía","Cinturón abdominal en quinta plaza,Prestaciones domésticas,Gama acotada,Faltantes de equipamiento,Sin versión manual"
Jeep Renegade Trailhawk 2.0 Diésel 4×4,Jeep,Renegade Trailhawk 2.0 Multijet AT9 4x4,7.2,7.2,7.6,7.3,7.3,"Diseño personal,Equipamiento,Robustez estructural,Off Road / Tracción","Radio de giro limitado,Baúl justo,Sensibilidad al viento,Precio comparativo"
Fiat Tipo Easy,Fiat,Tipo Easy,7.6,7.7,7.6,7.4,7.2,"Equipamiento,Habitabilidad/baúl,Diseño logrado,Capacidad de frenado,Precio competitivo","Recuperaciones,Reacción lenta de la caja,Tanque chico,Auxilio temporal,Ausencia de navegador"
Fiat Argo Drive Pack Conectividad,Fiat,Argo Drive Pack Conectividad,7.0,7.4,6.9,7.0,7.0,"Habitabilidad,Capacidad de baúl,Direccioón eléctrica ,Confort de marcha","Consumo,Recorridos de la caja,Auxilio temporal,Sin ESP"
Fiat 500x Cross Plus 1.4 AT,Fiat,500x Cross Plus 1.4 AT,7.5,7.3,7.5,7.7,7.8,"Equipamiento,Calidad general,Diseño,Prestaciones correctas,Auxilio homogéneo","Quinta plaza,Precio elevado,Sin chapón,Consumo,Distancias de frenado"
Renault Koleos Intens CVT 2.5 4WD,Renault,Koleos Intens CVT 2.5 4WD,7.5,8.0,7.8,7.5,7.0,"Habitabilidad,Equipamiento,Terminaciones,Sistema de tracción,Comportamiento equilibrado","Motor de larga data,Precio elevado,Consumo urbano,Prestaciones domésticas,Sin chapón protector"
Volkswagen Polo 1.6 AT6 Highline,Volkswagen,Polo 1.6 AT6 Highline,7.4,7.6,7.1,7.8,7.3,"Estética agradable,Espacio interior,Presentación interior,Consumo contenido,Instrumental","Auxilio temporal,Precio comparativo,Potencia limitada,Distancias de frenado,Prestaciones en general"
Fiat Cronos Precision Premium 1.8 MT,Fiat,Cronos Precision Premium 1.8 MT,7.4,7.4,7.4,7.1,7.3,"Diseño,Equipamiento de confort,Distancia de frenado,Confort de marcha,Motor con cadena","Consumo,Prestaciones domésticas,Autonomía,Radio de giro,Caja imprecisa"
Porsche 718 Cayman S,Porsche,718 Cayman S,7.9,7.2,8.0,8.7,8.9,"Prestaciones,Comportamiento,Consumo,Mecánica","Precio,Sin auxilio (kit),Confort de marcha,Capacidad de baúl"
Fiat 500 Abarth 595 Turismo,Fiat,500 Abarth 595 Turismo,7.7,7.0,7.9,8.3,8.3,"Diseño,Desempeño dinámico,Consumo/Prestaciones,Potencia CV/Litro","Caja de solo 5ta,Plazas traseras/Baúl,Sin auxilio/Kit,Confort de marcha"
Renault Captur Intens 1.6 CVT,Renault,Captur Intens 1.6 CVT,7.2,7.4,7.3,7.2,6.9,"Equipamiento,Confort de marcha,Diseño,Robustez estructural","Radio de giro,Baúl limitado,Consumo en ciudad,Prestaciones"
Volkswagen Tiguan 2.0 TSI Allspace 4Motion DSG,Volkswagen,Tiguan 2.0 TSI Allspace 4Motion DSG,8.4,8.7,8.5,8.2,8.3,"Nivel de equipamiento,Calidad general,Distancias de frenado,Prestaciones,Espacio interior","Baúl con 7 plazas,Visibilidad panorámica,Autonomía,Auxilio temporal,Consumos"
Fiat Cronos Drive 1.3 MT,Fiat,Cronos Drive 1.3 MT,6.9,7.1,6.4,6.7,7.5,"Confort de marcha,Precio atractivo,Baúl espacioso,Conectividad,Consumos contenidos","Prestaciones,Selector,Equipamiento de seguridad,Comportamiento dinámico,Ausencia de ESP"
Honda CR-V EXT 1.5 AT,Honda,CR-V EXT 1.5 AT,8.0,9.3,8.0,8.0,7.9,"Habitabilidad,Equipamiento,Terminaciones,Confort de marcha,Distancia de frenado","Off road limitado,Precio elevado,Consumos urbanos,Sin sensores delanteros,Solo una versión"
Volkswagen Virtus 1.6 MSI Highline AT,Volkswagen,Virtus 1.6 MSI Highline AT,7.7,8.0,7.6,8.0,7.2,"Espacio interior/baúl,Suspensiones,Consumo austero,Distancias de frenado,Agrado de conducción","Auxilio temporal,Prestaciones modestas,Seguridad mejorable,Relación peso/potencia,Precio comparativo"
Nissan X-Trail Exclusive 2.5 CVT 4×4,Nissan,X-Trail Exclusive 2.5 CVT 4x4,7.6,7.8,7.6,7.6,7.0,"Capacidad off road,Espacio interior,Precio comparativo,Confort de marcha,Consumo en ruta","Consumo en ciudad,Multimedia mejorable,Tecnología escueta,Rediseño en Europa,Gama acotada"
Kia Rio EX 1.6 AT Premium,Kia,Rio EX 1.6 AT Premium,7.6,7.7,7.6,7.9,7.3,"Habitabilidad/baúl,Con ESP de serie,Terminaciones,Caja automática,Comportamiento equilibrado","Faltantes de confort,ESP solo en Full,Precio,Consumo urbano,Prestaciones domésticas"
Chevrolet Camaro SS Cabrio,Chevrolet,Camaro SS Cabrio,7.5,7.2,7.6,8.0,7.6,,
Renault Logan Privilege Plus,Renault,Logan Privilege Plus,7.1,7.2,7.4,7.0,6.9,"Diseño mejorado,Equipamiento versión full,Espacio interior/Baúl,Confort de marcha,Relación precio/producto","Comportamiento dinámico,Pedal de freno ""gomoso"",Insonorización mejorable,Ausencia de ""one touch"",Recorrido selector de caja"
