nombre,marca,puntuacion,informativo,cal_pequeño_y_manejable,cal_deportivo,cal_bueno_y_barato,cal_practico,cal_ecologico,cal_atractivo,lo_mejor,lo_malo
 MINI ,,"3,9",,5,4,1,2,2,6,"Tacto de conducción, estética en general","Plazas traseras simbólicas, maletero justo, precio elevado"
 Peugeot 308 ,,"3,7"," «Un compacto atrevido pero a la vez elegante, ajustado en precio y con buenos motores gasolina y diésel, que comparte con Citroën. Llama la atención su vanguardista salpicadero en tres niveles distintos y sin apenas botones (todo se controla con su pantalla táctil). Su motor básico gasolina de 82 CV es razonablemente ágil para su potencia.» ",1,2,5,6,2,3,"Tacto de conducción sobresaliente, gama de motores, calidad de construcción","Pantalla táctil central de respuesta lenta y difícil manejo, ausencia de mandos físicos para climatización, espacio interior justo"
 Hyundai i10 ,,"3,6"," «El Hyundai i10 goza de dimensiones muy contenidas para un uso 100% urbano. Su interior permite acomodar cuatro adultos sin problemas. Sus motores gasolina ofrecen fiabilidad y bajo coste de mantenimiento, por ello las grandes exigencias y altas velocidades no son su fuerte.» ",7,1,7,4,5,2,"Seguridad, practicidad, maniobrabilidad, aprovechamiento interior","Precio algo elevado, cambio robotizado, sin opción alternativa"
 Renault Grand Scenic ,,"3,4",,1,1,5,10,2,3,"Diseño interior y exterior, versatilidad, relación tamaño/equipamiento/precio","Medida de neumáticos única en el mercado, detalles de calidad interior"
 Volvo V90 Cross Country ,,,,1,1,1,7,1,7,"Estética muy atractiva, diseño y calidad interior, confort de marcha, tecnología de seguridad","Maletero algo justo para el tamaño del coche, navegador con tendencia a fallar"
 Audi A4 ,,"3,9"," «Es un coche que no le disgusta nadie y desde luego a mí tampoco, no tiene nada que saque de quicio aunque tampoco tiene nada que sorprenda. Su precio desde luego no es manco pero si lo adquieres con motor diésel tienes un coche para muchos años.» ",1,2,1,5,2,3,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
 Volkswagen Touran ,,"3,6",,1,1,1,5,2,2,"Posibilidad de 7 plazas, espacio interior, volumen de maletero, calidad de construcción, versatilidad interior","Estética cuadrada, precio elevado, diseño sobrio"
 Honda Civic Sedán ,,,,1,3,2,6,2,2,,
 BMW Serie 8 Coupé ,,,,1,8,1,2,1,9,,
 Porsche Panamera Sport Turismo ,,,,1,7,1,6,1,8,,
 Audi A8 PHEV ,,,,1,2,1,6,8,3,,
 Porsche Panamera S E-Hybrid PHEV ,,,,1,5,1,5,8,6,"Prestaciones, silencio de marcha, calidad de materiales y acabados, interior espectacular, comportamiento deportivo","Pesa demasiado para poder ser considerado un verdadero deportivo, pero en línea recta te pega al asiento como pocos"
 Range Rover PHEV ,,,,1,1,1,7,8,5,"Diseño, interior de película, silencio de marcha, acabados, confort, aptitudes todoterreno","Ni puedes pagarlo, ni puedes aparcarlo, ni puedes mantenerlo"
 Audi SQ7 ,,,,1,5,1,10,1,5,"Relación prestaciones/consumos en diésel, calidad y diseño interior, espacio, confort, tecnología","Sería la combinación perfecta si el diésel no estuviese condenado a desaparecer, consumos altos en gasolina"
 Range Rover ,,,,1,1,1,8,1,5,"Diseño, interior, calidad de acabados, capacidades todoterreno en otra liga, suspensión neumática",La experiencia en carretera es la de un salón rodante con mucha inercia
 Porsche 911 Cabrio ,,,,1,8,1,1,2,8,"Diseño, calidad insuperable, tecnología de primera",Plazas traseras
 BMW M8 Coupé ,,,,1,8,1,2,1,8,,
 BMW M5 ,,,,1,7,1,6,1,5,"Prestaciones, comportamiento, practicidad, seguridad, sensaciones al volante",Precio desorbitado
 BMW X6 M ,,,,1,5,1,8,1,4,,
 Audi RS6 Avant ,,,,1,7,1,8,1,5,"Imagen, calidad, equipamiento, prestaciones","Precio, consumo, dimensiones"
 BMW i8 ,,"4,0",,1,8,1,1,8,10,"El futuro del deportivo se puede comprar hoy, increíble sensación prestacional, silencio de marcha, consumos muy bajos, estética rompedora","Maletero casi inexistente, imposible pasar desapercibido en este coche"
 Porsche Cayenne Turbo ,,,,1,7,1,9,1,5,"Prestaciones, tacto al volante, comportamiento, practicidad real","Precio, coste de opciones, consumos y todo lo que tenga que ver con tenerlo y mantenerlo"
 Porsche Panamera Turbo ,,,,1,7,1,4,1,8,"Pretastaciones puras, aceleración, comportamiento, exclusividad","Precio, consumo y todo lo que tenga que ver con el coste de mantener este coche funcionando"
 Mercedes-AMG GT 4 Puertas ,,,,1,7,1,5,1,7,,
 Audi R8 Spyder ,,"4,4",,1,8,1,1,1,10,,
 Mercedes-AMG GT ,,,,1,8,1,1,2,8,,
 Bentley Bentayga ,,,,1,2,1,6,1,7,"Calidad de construcción, exclusividad, materiales, prestaciones, capacidad real off-road (aunque no lo parezca)","Precio elevado, consumo desorbitado y ostentación sin límites son sus tres banderas"
 Audi R8 ,,"4,4",,1,8,1,1,1,9,,
 Lamborghini Huracán ,,,,1,10,1,1,1,10,"Motor V10, sonido, diseño exterior, versión de tracción trasera","Diseño y calidad interior mejorables, suspensión demasiado firme para carretera"
 Lamborghini Urus ,,"3,9",,1,8,1,7,1,8,"Nivel prestacional, estética diferenciada, espectacularidad","Precio desorbitado, imposible pasar desapercibido"
 SsangYong XLV ,,"3,1",,1,1,5,8,2,1,"Maletero, amplitud plazas traseras, equipamiento, precio asequible, garantía","Calidad de algunos plásticos, motor de gasolina algo justo, sin opción 4x4, estética indigesta"
 Fiat 500C ,,"3,4",,1,1,5,1,4,7,"Diseño atractivo, precio ajustado, practicidad","Maletero justo, calidad de algunos plásticos"
 Citroën C5 Aircross ,,"3,3",,1,1,5,7,2,3,"Versatilidad, presentación, posibilidades de equipamiento y personalización, confort","Calidad de algunos plásticos, sin tracción total, solo con cinco plazas,"
 Skoda Octavia Combi ,,,,1,1,5,9,2,2,,
 Hyundai Kona HEV ,,"3,6",,1,1,5,5,7,3,"Consumos, etiqueta ECO, equipamiento completo","Autonomía eléctrica limitada, precio sin ofertas"
 Ford Focus Active ,,,,1,2,5,5,2,3,"Diseño, dinámica de conducción","Detalles de acabado, precio superior al del resto de acabados"
 Ford Focus Sportbreak Active ,,,,1,1,5,1,2,3,,
 Volkswagen Passat Variant ,,"4,1",,1,1,1,9,2,5,"Calidad de construcción, espacio interior, maletero, gama de motores, estética atractiva","Precio muy elevado, precio de opciones"
 Skoda Octavia Combi MHEV ,,,,1,1,5,8,6,2,,
 BMW Serie 2 Gran Tourer ,,"3,4",,1,1,1,10,2,2,"Calidad de acabados, exclusividad, tacto de conducción, gama de motores","Precio elevado, opciones caras, diseño exterior algo extraño en esta versión larga"
 Mazda 6 Wagon ,,"4,0"," «Un familiar para que el conductor disfrute al volante. Deportivo, dinámico, con una posición de conducción perfecta y un tacto de dirección, pedales y sobre todo caja de cambios dignos de un juguete. Un diseño exterior muy atractivo, pero interior algo soso con calidades que ni destacan ni desentonan pueden hacerlo parecer algo gris en parado. En movimiento, brilla con luz propia.» ",1,3,5,8,2,4,"Maletero, motores eficientes, comportamiento","Calidad de algunos plásticos, equipamiento cerrado"
 Volkswagen Golf MHEV ,,,,1,2,1,5,6,4,"Cualidades innatas del Golf, etiqueta ECO","Diseño algo personal, ergonomía interior peor que la de su antecesor"
 Volvo V60 ,,"4,0",,1,1,1,8,2,3,"Diseño interior y exterior, seguridad, exclusividad, calidad","Precios, gama inicial limitada, dotación de serie algo justa"
 Lexus UX ,,"3,6",,1,1,1,1,7,5,"Calidad de acabados, consumos ajustados, equipo completo","Precios elevados, cambio CVT ruidoso, autonomía eléctrica reducida"
 BMW Serie 2 Coupé ,,"3,5",,1,5,1,1,2,4,"Dinámica de conducción, prestaciones, gama de motores, tracción trasera","Interior algo clásico, precio de las opciones"
 Mercedes Clase CLA Shooting Brake ,,,,1,3,1,7,2,4,,
 Subaru XV HEV ,,,,1,1,1,5,7,2,"Sistema de tracción integral permanente, eficacia en terreno resbaladizo, altura libre al suelo, estética diferenciada","Ausencia de rueda de repuesto, espacio interior justo, maletero pequeño, prestaciones"
 Volvo XC40 PHEV ,,,,1,2,1,6,8,5,"Diseño, calidad de construcción, equipamiento de seguridad, etiqueta CERO","Precio, autonomía eléctrica muy variable dependiendo de la conducción"
 Jeep Renegade TrailHawk ,,,,1,1,1,5,1,3,"Diseño rudo, capacidades 4x4, tecnología al servicio del ""off-road""","Terminación del interior, dinámica en carretera, sonoridad"
 Volvo S90 ,,"4,4",,1,2,1,6,2,5,"Diseño espectacular, calidad de construcción, estética y materiales en el interior, comportamiento sorprendente, consumos ajustados","Precio elevado, hemos observado fallos repetidos en el navegador en diferentes unidades, maletero justo"
 Peugeot 3008 PHEV ,,"3,6",,1,1,1,7,8,3,"Etiqueta Cero, posibilidad de tracción integral, silencio de marcha, comportamiento en ciudad","Exceso de peso y exceso de precio, sin dejar de ser un 3008"
 Audi A4 Avant ,,"4,1",,1,2,1,7,2,3,"Calidad de construcción, diseño interior y materiales, tecnología","Estética muy clásica, tacto de conducción por detrás de sus rivales"
 Audi Q3 Sportback ,,"3,6",,1,2,1,7,2,4,"Estética, calidad de acabados, gama variada","Precio elevado, opciones caras, plaza central trasera justa"
 Volvo V60 Cross Country ,,,,1,1,1,9,2,4,"Estética, diseño interior, calidad de construcción, comodidad, confort de los asientos para largos viajes","Navegador poco fiable, precio elevado, maletero justo"
 Audi A4 Allroad ,,,,1,2,1,7,2,5,"Estética, calidad de acabados, diseño interior, equipamiento completo","Precio muy elevado, opciones caras, tacto de conducción insípido"
 Jaguar E-Pace ,,"3,6",,1,2,1,6,2,5,"Diseño, gama de motores variada, posibilidades de equipamiento","Calidad de algunos plásticos, precio elevado, equipo de serie justo"
 Audi A3 PHEV ,,,,1,3,1,4,8,3,"Imagen, tecnología, suavidad, insonorización","Precio, detalles de acabado, peso"
 Land Rover Discovery Sport ,,"3,4",,1,1,1,11,2,5,"Posibilidad de 7 plazas, diseño general, calidad de construcción, aptitudes todoterreno, etiqueta ECO","Precio elevado, prestaciones justas, suspensión algo seca, difícil acceso a las plazas auxiliares"
 Volvo V90 ,,"4,4",,1,1,1,7,2,4,"Diseño espectacular, calidad de construcción, estética y materiales en el interior, comportamiento sorprendente, consumos ajustados","Precio elevado, hemos observado fallos repetidos en el navegador en diferentes unidades, maletero justo"
 Cupra Ateca ,,"3,9",,1,3,6,6,1,3,"Prestaciones, maletero, amplitud interior, equipo completo, comportamiento dinámico","Confort de suspensión, consumos, aspecto de algunos plásticos"
 Mercedes Clase B PHEV ,,,,1,1,1,1,8,3,"Diseño agradable, etiqueta CERO",Calidad de algunos materiales
 Mercedes Clase C Estate ,,"3,8",,1,2,1,7,2,3,"Diseño interior y exterior, exclusividad, tacto de conducción","Calidad de plásticos y ajustes mejorable, motores diésel ruidosos"
 BMW Serie 3 Touring ,,"3,5",,1,3,1,8,2,3,"Tacto de conducción, prestaciones, consumos","Espacio limitado para un familiar, interior clásico, precios"
 BMW X1 PHEV ,,,,1,3,1,6,8,4,"Prestaciones, etiqueta CERO","Peso añadido, dinámica de conducción algo peor que las variantes únicamente térmicas"
 BMW Serie 4 ,,"3,9",,1,4,1,2,2,5,"Tacto de conducción, gama de motores, prestaciones, estética","Precio elevado, precio de opciones aún más elevado"
 Audi A5 ,,"3,8",,1,4,1,2,2,5,"Calidad de construcción, tecnología, diseño interior","Comportamiento aburrido, precio elevado"
 Land Rover Discovery Sport PHEV ,,,,1,1,1,8,8,5,,
 BMW X4 ,,"3,6",,1,1,1,8,2,4,"Estética deportiva y exclusiva, tacto de conducción, gama de motores","Precio desorbitado, versatilidad limitada por la forma del techo"
 Audi A6 ,,,,1,2,1,6,2,3,"Calidad de construcción, espacio a bordo, materiales del interior, equipamiento","Precio, precio de las opciones, imagen demasiado clásica y convencional"
 BMW Serie 5 ,,"3,8",,1,3,1,6,2,3,"Empaque, tecnología de vanguardia, comportamiento, gama de motores, seguridad y asistencias a la conducción",Estética demasiado clásica
 Mercedes Clase E ,,"3,9",,1,2,1,4,2,3,"Niveles de asistencia y seguridad, diseño interior y exterior, tacto de conducción, nivel tecnológico apabullante, equipo de iluminación","Suspensión demasiado firme, parecido con Clase C"
 Audi A6 Avant ,,,,1,1,1,8,2,3,"Imagen, tecnología, acabados, espacio","Precio, algunas opciones mecánicas poco refinadas"
 Land Rover Discovery Sport MHEV ,,,,1,1,1,8,6,5,,
 Volvo XC60 PHEV ,,,,1,1,1,6,8,5,"Tecnología, equipamiento, diseño, confort, prestaciones","Es un híbrido enchufable: caro, pesado e ineficiente, aunque pueda moverse en modo eléctrico algunos kilómetros"
 Volkswagen Touareg ,,,,1,1,1,9,2,3,"Tecnología, calidad de construcción, capacidades off-road razonables, agilidad del sistema 4WS","Pantalla central inabarcable de un vistazo, estética insulsa, falta de diferenciación"
 BMW X5 ,,,,1,1,1,9,1,3,"Tacto de conducción, tecnología, calidades, diseño","Precio elevado, opciones caras"
 BMW X6 ,,"3,6",,1,4,1,8,1,4,"Tacto de conducción, gama de motores, estética súper-bestia","Versatilidad limitada por la forma del techo, practicidad, precio excesivo"
 Audi Q5 PHEV ,,,,1,3,1,6,8,4,,
 Mercedes CLS ,,,,1,4,1,5,1,5,,
 Mercedes GLE ,,,,1,1,1,10,1,6,"Diseño, calidades, posibilidad de 7 plazas, capacidad todoterreno","Precio elevado, opciones caras"
 Land Rover Discovery MHEV ,,,,1,1,1,6,1,3,"Capacidades todoterreno reales, confort, equipamiento, diseño atractivo, etiqueta ECO",Demasiado grande y pesado para ser ágil o divertido al volante. No se puede tener todo.
 Range Rover Velar PHEV ,,,,1,2,1,7,8,6,"Potencia, diseño, acabados","Precio, consumo cuando se agota la autonomía eléctrica"
 Audi Q7 ,,"4,2",,1,1,1,11,1,5,"Espacio interior, calidad de construcción, tecnología, diseño interior","Proporciones exteriores algo raras, precio"
 Tesla Model S eléctrico ,,"4,1",,1,7,1,8,10,7,"Prestaciones de vértigo, silencio de marcha, exclusividad, estética diferenciada","Detalles de acabado, diseño interior algo forzado por la pantalla"
 Jaguar F-Pace PHEV ,,,,1,2,1,1,8,4,,
 Porsche Cayenne ,,,,1,5,1,9,1,4,"Tacto deportivo, prestaciones, calidad general, tecnología, diseño, practicidad real","Precio, consumos y costes en general fuera del alcance de la gran mayoría"
 BMW Serie 7 ,,,,1,3,1,6,2,4,,
 Audi A8 ,,," «Viaje Santiago Madrid, con masaje en la espalda y un motor diésel que solamente ronronea. Justo lo que se le puede pedir a un coche de representación como este. Fuera de representar, es una exageración.» ",1,2,1,6,2,3,,
 Porsche Macan Turbo ,,,,1,6,1,8,1,4,,
 Porsche 911 ,,,,1,8,1,1,2,8,"Tradición, personalidad, tecnología, tacto de dirección, sensaciones, sonido, estética","Este es el coche por el que se miden los demás coches, no hay nada que mejorar"
 Mercedes Clase S ,,"4,5",,1,2,1,6,2,6,"Tecnología de vanguardia, confort de marcha supremo, niveles de seguridad y asistencia, prestaciones, espacio interior","La sensación de que vas conduciendo el coche de tu padre, tengas la edad que tengas, parecido con Clase E"
 Mitsubishi Space Star ,,"3,1",,6,1,5,4,5,2,"Precio de derribo, equipamiento completo","Calidad de acabados, diseño exterior extraño, sensación general de low-cost"
 Kia Picanto ,,"3,4",,9,1,7,4,5,2,"Diseño, habitabilidad, posibilidades de equipamiento","Suspensión blanda, caja automática con 4 velocidades"
 Toyota Aygo ,,"3,1",,9,1,5,2,5,2,"Precio competitivo, espacio interior razonable","Calidades interiores justas, plataforma antigua, prestaciones limitadas a ciudad"
 Fiat Tipo ,,"3,1",,1,1,7,6,2,2,"Precio demoledor, diseño, maletero gigantesco","Acceso al maletero, calidad de algunos plásticos, detalles de acabado"
 Kia Rio ,,"3,4",,3,1,7,5,4,2,"Relación valor-precio, equipamiento razonable, maletero","Suspensión blanda, calidad de los plásticos"
 Citroën C1 ,,"3,1",,9,1,7,2,5,2,"Precio, economía de mantenimiento, maniobrabilidad","Plásticos interiores, prestaciones justas con el motor 1.0 VTI"
 Skoda Fabia ,,"3,4",,3,1,7,5,4,2,"Amplitud, maletero, soluciones prácticas","Plásticos duros, equipo de serie, sin motor diésel"
 Peugeot 108 ,,"3,4",,5,1,5,2,5,2,"Ligereza, agilidad, bajos consumos, posibilidades de equipamiento","Materiales de calidad mediocre, maletero escaso, vibraciones y sonoridad, puertas traseras pequeñas, ausencia de control de velocidad"
 Hyundai i20 ,,"3,5",,2,1,7,5,4,1,"Calidad de fabricación, equipamiento, diseño personal","Diseño personal, precio elevado, sin opción diésel"
 Citroën C3 ,,"3,3"," «Urbano, práctico y con cinco plazas para quien busque el máximo provecho en las mínimas dimensiones. El restyling del Citrën C3 sufrido en 2013 le ha aportado mejoras en equipamiento y mecánicas para ser una de las referencias en el segmento. » ",3,1,8,5,4,2,"Precio, espacio interior, diseño atrevido, detalles de equipamiento",Calidad de algunos plásticos
 Citroën C-Elysée ,,"1,9", «Una berlina lógica y capaz para todos los usos. El Citroën C-Elysee convence a todos los que valoran las virtudes de un vehículo compacto sin renunciar a un gran maletero.» ,1,1,6,6,2,1,"Precio, maletero, amplitud general","Percepción low-cost general, diseño, plataforma muy antigua"
 Dacia Lodgy Stepway ,,,,1,1,7,10,2,1,"Diseño agradable, mucho espacio","Interior poco cuidado, tecnología muy desfasada"
 Opel Corsa ,,"3,6"," «El Opel Corsa ha sabido aprovechar su veteranía en su favor, seguir entre los más vendidos gracias a ofertas muy jugosas y a motores diésel muy ahorradores que garantizan consumos por debajo de los 4 litros/100 kilómetros. La nueva generación llegará a comienzos de 2015, pero este Corsa aún tiene mecha para rato.» ",3,1,5,4,4,1,"Precio competitivo, equipamiento básico completo","Calidad de algunos plásticos, diseño anodino, tacto de conducción aburrido"
 Dacia Lodgy ,,"2,7"," «Sí, un Dacia no está a la altura de otras gamas generalistas... pero en cosas que quizás no sean necesarias, como calidades de plásticos o detalles en acabados. Pero en espacio, conducción o motores, y especialmente en fiabilidad, no tiene nada que envidiar al resto. Un monovolumen grande desde 10.000 euros que merece la pena. Lee mi ",1,1,7,1,2,1,"Precio de derribo, espacio interior, practicidad","Plásticos y calidades en general, estética desafortunada"
 Toyota Yaris ,,"4,0",,4,1,5,4,4,2,"Equipamiento de seguridad, posibilidad de motor híbrido, diseño","Precios algo altos (híbrido), detalles de acabado, equipo de confort (gasolina)"
 Fiat 500L ,,"3,1"," «¿Se parece a un Fiat 500? No, sólo en el exterior. Por lo demás es un monovolumen sencillo pero útil y diferente por fuera. Motores poco potentes pero suficientes tanto en gasolina como en diésel. » ",1,1,5,7,2,3,"Relación espacio/precio, estética atractiva","Percepción de calidad, comportamiento dinámico torpe"
 Suzuki Swift MHEV ,,"3,4",,5,1,5,4,4,2,"Precio atractivo, equipamiento disponible, sistema micro-híbrido, tracción total en opción","Niveles de acabado cerrados, sólo una carrocería, pocas combinaciones de motor/acabado"
 Citroën C4 Cactus ,,"2,9",,2,1,7,5,2,3,"Estética original, concepto innovador, espacio interior, eficiencia, confort","Aspecto de algunos plásticos, ventanillas traseras batientes, calidad general"
 Kia Ceed Tourer ,,"3,6",,1,1,6,7,2,2,"Maletero, garantía, presentación, tecnología","Aspecto de algunos plásticos, línea algo clásica frente al Proceed"
 Opel Crossland ,,"3,0",,1,1,5,6,2,3,"Versatilidad, posibilidades de equipamiento, acabados","Motor de gasolina básico muy justo, equipo de serie"
 Ford Ecosport ,,"2,6",,1,1,5,5,2,3,"Precio atractivo, altura libre al suelo en versiones gasolina, gama de motores","Calidades interiores, portón trasero de apertura lateral, ausencia de tracción 4x4, maletero pequeño"
 Renault Mégane ST ,,"3,5",,1,1,5,8,2,2,"Maletero, comportamiento, posibilidades de equipamiento","Detalles de acabado, motores básicos algo justos"
 Fiat Panda 4x4 ,,"3,6",,7,1,6,3,4,2,"Precio, comportamiento en campo, estética","Calidades interiores, prestaciones limitadas, gama de motores"
 Renault Kadjar ,,"3,4",,1,1,6,6,2,2,"Más grande y menos visto que su hermano el Nissan Qashqai, confort de marcha","Tacto de conducción, detalles de calidad interior"
 Toyota Yaris HEV ,,"4,1",,4,1,3,4,7,2,"Silencio en modo eléctrico, comodidad, posibilidades de equipamiento","Cambio CVT ruidoso en aceleraciones, interior algo justo, precio elevado"
 Nissan Juke ,,"3,5",,1,2,5,7,2,3,"Diseño original, equipamiento disponible, comportamiento","Precio elevado, plazas traseras pequeñas, calidad de algunos plásticos"
 Hyundai i30 CW MHEV ,,"3,6"," «Un coche contenido para quien busque un compacto a precio asequible. Lo mejor, una gama de motores diésel y gasolina amplia y fiable. Lo peor: un interior al que haría falta una renovación.» ",1,1,7,9,2,2,"Calidad de construcción, equipamiento completo, tacto de conducción","Gama limitada respecto al cinco puertas, motores diésel ruidosos, precios algo elevados"
 SEAT León ST ,,"4,0"," «El coche para ir a IKEA. 587 litros de maletero sin abatir asientos, y opciones para llevar objetos muy largos. Para quien necesite mucho espacio en el día a día sin renunciar al comportamiento envidiable de un León en carretera. Lee mi prueba del ",1,2,5,9,2,2,"Equipamiento completo, opción micro-híbrida, maletero",Detalles de acabado
 Volkswagen T-Cross ,,"3,1",,2,1,1,6,2,3,"Modularidad, comportamiento, equipamiento","Detalles de acabado, opciones caras, precio"
 Mitsubishi ASX ,,"2,6",,1,1,1,7,2,2,"Precio atractivo, tamaño compacto, disponibilidad de tracción 4x4","Espacio interior limitado, diseño obsoleto, prestaciones justas, escasas combinaciones mecánicas"
 Ford Focus Sportbreak ,,"3,6",,1,1,5,8,2,2,"Comportamiento dinámico, tacto de conducción, precio ajustado, equipamiento completo","Diseño poco original, interior aburrido"
 Peugeot 308 SW ,,"3,7",,1,2,5,9,2,2,"Tacto de conducción sobresaliente, gama de motores, calidad de construcción, maletero gigantesco","Pantalla táctil central de respuesta lenta y difícil manejo, ausencia de mandos físicos para climatización"
 Ford Focus Sportbreak MHEV ,,,,1,1,5,1,6,2,"Espacio del maletero, dinámica de conducción, etiqueta ECO","Detalles de acabado, comodidad con terrenos rotos"
 Mini 5 Puertas ,,"3,7",,4,2,1,4,4,3,"Diseño general, tacto de conducción, gama de motores, practicidad mejorada frente a modelo 3 puertas","Acceso a plazas traseras estrecho, estética no tan redonda como el modelo 3 puertas, precio elevado"
 Hyundai Ioniq ,,"3,9",,1,1,5,7,7,3,"Relación precio/equipamiento, cambio automático de tacto agradable, eficiencia en ciudad","Plásticos interiores, prestaciones justas"
 Mazda 3 ,,"4,2"," «Calidad y confort para un compacto que siempre debería ser una alternativa. El Mazda 3 destaca por unas mecánicas de última generación, donde los amantes de los motores gasolina encontrarán gran suavidad y ajustados consumos.» ",1,3,5,5,2,3,"Diseño, comportamiento, mecánicas eficientes","Plazas traseras, aspecto de algunos plásticos"
 Volkswagen e-up! eléctrico ,,,,8,1,1,3,10,3,,
 Audi A1 ,,"4,0"," «Un coche pequeño y premium, que viene para rivalizar con el MINI, aunque su espíritu es distinto: más sobrio y elegante frente al toque retro-cool del MINI. » ",3,2,1,5,4,3,"Calidad de acabados, tecnología, diseño interior","Precio elevado, opciones caras, sin diesel"
 Mazda 3 SportSedán ,,"4,1",,1,3,5,5,2,3,"Comportamiento, capacidad de maletero, equipamiento","Precio algo elevado, boca de carga del maletero estrecha"
